ph,Hardness,Solids,Chloramines,Sulfate,Organic_carbon,Trihalomethanes,Turbidity,Check
6.908272154,211.1055511,19224.98628,6.379970101,307.1022062,21.2084766,71.92098789,5.405567223,1.0
7.958984292,171.4836247,23625.81389,9.537735147,259.9799662,16.11711046,107.7540426,4.698007916,1.0
7.992749619,193.6091377,14610.41283,7.218904024,332.4687554,10.8770622,67.1813408,4.062907043,0.0
7.614877639,246.0308561,33347.9711,8.222533309,345.8088086,10.76369093,98.36865575,2.990780894,1.0
7.490786676,202.4580608,26551.3701,7.120772303,312.9340248,17.9981601,67.35607868,4.354535491,1.0
9.02678772,253.2170742,27965.07215,6.588374366,373.5532353,16.14573205,59.12445085,2.019042018,0.0
5.404510674,258.9034888,10168.17654,9.648197064,248.7119634,15.51220766,65.80533075,3.998175886,0.0
4.624304291,121.0363186,22981.74941,8.297074094,372.0373589,13.05403007,66.55346544,3.424250049,0.0
4.775983439,196.2739637,19185.79188,4.942929901,329.1439121,13.37094975,84.58424964,4.382161619,0.0
7.086877326,192.3873676,25524.82347,7.354034994,322.7400312,14.52440807,64.12439071,3.992848211,0.0
6.86313625,194.5866593,23610.51756,8.193416004,346.7680519,14.6597409,89.02719617,4.319777195,0.0
6.351286549,162.2133452,22337.44839,6.867963632,379.6138031,11.71214925,65.96781372,3.707053968,1.0
7.657991237,236.9608892,14245.78912,6.289064859,373.1653628,10.46423858,85.85276861,2.437296288,1.0
7.880685943,226.0038444,19486.88184,6.208574003,356.3380794,11.9952395,55.02916552,3.579983811,1.0
9.612898964,94.90897713,16598.57751,9.143046047,311.2961574,12.31203175,67.42695478,4.016409562,1.0
6.632205879,232.7385452,9809.904,8.336777938,302.3257718,13.30485235,65.318835,3.44374056,0.0
7.790874862,196.4787124,24061.3496,6.78568519,350.1172538,15.34331564,44.54462707,3.076214341,0.0
6.006769481,226.8740986,20279.70104,8.166416283,225.5166278,9.650786456,52.64002548,4.034754809,0.0
6.94702854,168.8795392,17540.03022,6.409476274,387.2999071,15.19819136,74.0073726,2.600187733,0.0
7.721078494,208.4385926,17248.61874,7.685369735,286.4035215,11.75734824,56.884528,3.22395109,1.0
5.188776875,178.9932688,22648.23755,6.318063039,326.4678979,18.84038348,89.91443808,3.769503907,1.0
6.576845323,156.2217681,12772.09575,9.759897652,341.7493777,10.38225265,78.30517971,3.771313518,0.0
7.442023084,194.7638713,34565.70169,8.493347624,294.8362177,18.96201401,79.9583213,2.894651172,1.0
8.277058198,242.5592458,12715.81428,5.128732541,371.3027473,15.22002138,61.79901424,3.751324091,1.0
7.664793523,223.5784735,20259.72585,7.385414294,351.1613311,14.20522105,73.19247007,5.481690934,1.0
4.89196004,153.5062323,9559.547392,7.84706647,349.8243904,11.45762389,61.11052919,3.904269955,0.0
6.427720561,166.8502368,12215.40908,7.696751399,376.2826172,20.13048259,66.73504403,2.9044534,1.0
6.957802749,219.2399523,20215.63285,7.054093205,306.6473845,17.42714462,56.43564639,4.587745469,0.0
8.846281957,188.4150006,17734.94963,6.057867647,317.1505445,17.11544677,60.25157823,2.925037558,0.0
8.722143777,151.621132,28301.51695,3.651961339,248.0947589,15.15117258,79.53836758,3.274628642,1.0
9.99980746,215.108978,33462.03422,6.194121929,365.8953377,13.79203433,77.87210194,2.659977662,0.0
9.338235018,248.3760156,17416.80178,6.665873261,342.7208077,19.74281527,58.65852985,1.872572601,0.0
10.8112895,209.10305,11848.22827,10.14106005,349.9232292,15.47487594,66.03031726,4.416183694,0.0
5.323815584,232.36858,37625.75268,8.879822934,380.576472,12.29380305,55.31001941,2.880721846,0.0
8.742229882,179.4098037,9694.354896,6.577127954,368.504321,13.92500999,85.77932445,2.842393186,0.0
6.603416523,190.837308,19468.7901,6.375631988,380.7319011,5.934588321,83.55932648,4.270816604,1.0
5.584124358,203.7564258,29999.98701,7.213328663,310.6602841,14.18302517,65.88127084,3.852731893,0.0
6.493764175,205.1505644,19821.33837,6.344963412,298.3799764,12.16473568,89.47771837,4.910911021,0.0
6.971577182,185.9069376,27959.98787,7.214510212,349.7438791,19.88291697,36.17900286,3.226348501,0.0
7.822257363,200.0027932,22411.00686,5.283593552,343.0803772,12.27307332,75.25621195,3.080865919,0.0
7.26354507,160.4430648,16129.70692,8.091014005,328.4471745,12.81483552,43.59230116,3.950529737,1.0
7.096047101,221.5082446,17240.02106,9.181472938,322.6168783,16.5762003,78.12209062,4.785637378,1.0
7.260904363,189.077962,21391.16254,6.576866192,356.6222215,14.39160618,81.08245565,4.383823385,0.0
6.420640206,180.2929997,26034.5282,9.710618837,308.9578864,17.72439599,57.59663575,3.139940274,1.0
7.187765846,184.156604,31125.74043,6.377789861,352.9160163,14.80789339,61.96388774,3.78412078,0.0
7.762020745,173.636742,15548.41667,5.018671102,330.3909763,11.14770411,87.4815046,3.256301329,0.0
3.989032078,216.0761379,40175.20609,7.487422757,309.8007964,11.18673889,86.95746387,4.409414176,0.0
7.693555235,224.3930365,21856.14521,7.041440296,275.2719704,12.84896466,63.15490498,2.750695905,0.0
7.63876177,178.2716356,18308.50267,6.548097821,362.3328717,11.29178773,81.98915623,4.496626599,0.0
4.292966858,212.8086454,30434.26912,8.630313014,333.4825401,15.77992197,39.77551322,2.804923583,0.0
7.295141332,182.4066446,13706.18681,5.887885103,300.608233,18.06347006,73.83690919,5.056104024,1.0
6.093091914,208.9080219,21456.60442,9.600683423,263.4534898,19.29676488,31.00723534,4.523557774,0.0
5.711212506,145.8258687,21157.17973,7.954721153,385.2060974,16.68202455,70.47088907,3.953334967,1.0
5.830542049,165.4670247,30021.25708,8.433096578,334.3977773,16.66661347,69.58025301,5.19211665,0.0
5.006562979,160.496448,27218.82198,11.54319047,289.9757767,16.56939117,70.69906614,3.665205612,0.0
8.63127,164.3711691,14880.6518,7.278263165,350.9515814,16.85745879,58.17786718,3.640944003,0.0
9.961247709,220.038186,11939.76986,8.428753588,337.48361,14.7925852,60.99184258,3.246583097,1.0
4.633202516,208.9080361,29307.12894,6.125585211,304.0317763,10.81715813,111.1153097,4.751858815,0.0
9.723377231,190.8974211,9076.646483,9.75208796,357.3847087,13.3078238,62.82668747,4.072063353,1.0
4.801154368,180.7728708,13556.7344,8.977286381,322.062447,12.40136807,62.02818652,4.418638132,0.0
7.474103530907732,149.14012698525096,190.1338427318785,1.015249694823941,24.40751723332628,1.81215036443764,0.1105400951464492,1.3427297124334068,0.0
7.262445141377575,133.45477224276286,187.7887869566166,1.3460931441900583,21.25073693929436,1.6434409488966757,0.1325403121681494,1.4095732719687613,0.0
6.551425813484251,76.7967539426059,107.495462662357,0.8250462255699658,17.366567352187907,1.3429646103541095,0.0917487036682445,0.6309549459376946,1.0
6.962295561000607,83.15136018615738,140.13281220761098,0.5534599321899107,18.108205378381516,1.2492846084817777,0.0734697189265664,0.8471122445913628,1.0
6.85071181545171,81.19992427644912,124.64913552290446,0.839775918286342,13.463635031084944,1.199819241246968,0.0880906548437931,0.9970868958408672,1.0
7.321860059290357,79.18863902570558,142.0811003771387,0.7926304377549233,15.007349061441984,1.0283074865673618,0.0517499420631992,0.7330955181644692,1.0
7.208362976715035,88.47244470410234,128.988572088124,0.5984768151043607,10.223017048986437,1.224740982592714,0.0987915944891353,0.6679606408119532,1.0
7.26897981582205,125.31807798152542,182.763063115038,1.202950409665357,24.20833203726067,1.9994848710993889,0.14561217354871,1.1689681363119222,0.0
6.890905995905515,61.66664113246633,147.095279363021,0.7349227174918375,12.507318260020543,1.4003118282064078,0.077147329228592,0.883202511784221,1.0
7.185802549650428,143.35075392360045,199.89913168537367,1.087961464665141,27.28269734133476,1.894888453697392,0.1223262871331118,1.841230095610076,0.0
7.376653602658345,82.83780317372785,141.7486892841481,0.9006857677318183,17.49986984379975,1.0211344971179672,0.0674433360897588,0.5656311055464355,1.0
7.258030911180488,132.81819054005035,166.8439272569436,1.2791498836856523,25.820309197786347,1.5088290885213278,0.1047842890783273,1.973245133173088,0.0
6.531586144825642,64.81788067566441,139.14618071287862,0.8818076494808283,14.32851106795671,1.4473338121570067,0.0707741043349801,0.7560392269688395,1.0
7.356489841188322,62.01994564467535,149.7710756462728,0.8489952357488962,16.89229736362952,1.2053885447621453,0.0744321948549379,0.996075717615024,1.0
6.704984295415821,99.80788367493896,112.29092935112874,0.8520521803858184,11.528871156479982,1.0883068462870615,0.0698840567572517,0.8016411597252942,1.0
7.450237353820802,59.83267924764793,124.26453170308577,0.585071370088579,12.571771360244274,1.185402098772424,0.0872540085581109,0.5649774520384605,1.0
7.474566076458332,123.64600584308896,195.99205119943383,1.4102142794797192,26.18892231138475,1.9327582317310836,0.1133052041527032,1.4074800845171378,0.0
7.473488969177397,98.0746162287056,112.17213083827052,0.9814352470009048,18.352455477380023,1.4734336987479824,0.0855055445953106,0.9309549741521896,1.0
7.064452526940819,125.89608668207208,161.43105290147224,1.1778392820154913,25.256155975200407,1.5532966292521095,0.1449577093324252,1.780965643242669,0.0
6.696097712738393,66.50779751578023,142.12320534177877,0.5100058618143875,10.11432676672204,1.4630406733934591,0.077355565986914,0.8057154036139444,1.0
7.339163102315632,144.40568275901884,186.03421251356576,1.403460076770347,22.244268812088382,1.8705538985094423,0.1017567101571107,1.3043445251618184,0.0
7.131837212169799,61.21467416425225,102.46472463822082,0.5011737369337266,19.379878654594968,1.424771879777061,0.0845996261028372,0.5531820665135828,1.0
6.858465728544273,67.89070420567745,124.1749042553402,0.958321551346958,10.568405707123883,1.1939225498429231,0.0538424730930617,0.5335788911914107,1.0
6.800963566946816,53.30825944172202,106.78133080036568,0.6114750042788768,12.833976945705938,1.1454792152589808,0.0835506237422435,0.7338661355572352,1.0
7.313638320298257,126.5317791186228,150.88465805683853,1.4711864357512574,29.64336522484919,1.644244205191475,0.1281539644176194,1.9739977330166143,0.0
7.100951076699969,122.20664253790132,190.68692803144185,1.142138773845328,29.52595671946561,1.575001930363736,0.1008738894190302,1.2478863139840626,0.0
7.041296335301071,99.17836032568314,138.89547033742684,0.9960079846984178,11.16053459384569,1.2367650814232392,0.0669839218864612,0.7111569389280161,1.0
6.92754101835855,74.83477114089733,113.12041882446508,0.5058899381433211,17.208163164749156,1.2192144460055905,0.0779530643882625,0.558122876344969,1.0
7.085775581273463,51.94649816628337,148.87282815919212,0.6156743566000753,13.769499716862722,1.3122590076821736,0.096350605646254,0.8502387348450708,1.0
7.183196333357403,103.99497004759468,155.38212109167318,1.069391507053365,20.39189393037136,1.7053666598556614,0.1497640303532713,1.1953854646148416,0.0
7.4349120044435155,134.87485051442874,155.96044557069783,1.048727973622363,24.687228489412327,1.5932269606555272,0.1127934320287988,1.284142617729526,0.0
7.163537372016711,78.94033772559703,107.21560218437408,0.7772445571605854,14.713681101729977,1.0221734309768005,0.0966946719074931,0.7340919480143835,1.0
7.234790351675913,103.24396090469692,197.82924303626496,1.4153330574117209,20.6405155685656,1.5962735488841924,0.1036644077309718,1.3626820700676148,0.0
7.235235625537515,101.22100513219657,179.26111437540231,1.048579871728595,20.881417311031157,1.9256185830109231,0.1056552806326277,1.8422411390757012,0.0
7.428883546433204,105.1875088460267,181.49220884397508,1.4029992272783536,29.472969633928585,1.7278083154210797,0.1044198623460813,1.9399983176304376,0.0
7.2193557744419,134.78931532117136,179.52456728274024,1.495049059608026,25.259368750140432,1.8512226222000576,0.1193269646069173,1.6153622564009265,0.0
